rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.1894253673700105,0.0,0.7875235742741922,0.0,6.384504079818726,0.0,0.07396984100341797,0.0,0.1,100,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 100}",0.1894253673700105,0.7875235742741922
2,0.15341397549952338,0.0,0.32605446157247153,0.0,0.6589341163635254,0.0,0.010191202163696289,0.0,0.1,20,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 20}",0.15341397549952338,0.32605446157247153
3,0.1477071427943397,0.0,0.5519575879506136,0.0,6.531722068786621,0.0,0.06403684616088867,0.0,0.01,20,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 20}",0.1477071427943397,0.5519575879506136
4,0.14503041332355723,0.0,0.3910999345236038,0.0,6.5755109786987305,0.0,0.07695174217224121,0.0,0.01,100,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 100}",0.14503041332355723,0.3910999345236038
5,0.13024067084972357,0.0,0.45240871806378424,0.0,0.6795639991760254,0.0,0.010038137435913086,0.0,0.1,1,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 1}",0.13024067084972357,0.45240871806378424
6,0.12246695843651628,0.0,0.10155343904051081,0.0,0.1936178207397461,0.0,0.00628209114074707,0.0,10,1,"{'model__learning_rate': 10, 'model__min_samples_leaf': 1}",0.12246695843651628,0.10155343904051081
7,0.10682424799838215,0.0,0.09423117451970772,0.0,0.5495500564575195,0.0,0.010012149810791016,0.0,1,100,"{'model__learning_rate': 1, 'model__min_samples_leaf': 100}",0.10682424799838215,0.09423117451970772
8,0.10171338106198097,0.0,0.09530466500976817,0.0,0.250413179397583,0.0,0.007113933563232422,0.0,10,100,"{'model__learning_rate': 10, 'model__min_samples_leaf': 100}",0.10171338106198097,0.09530466500976817
9,0.09921205963336414,0.0,0.09218117401950852,0.0,0.5382659435272217,0.0,0.009310245513916016,0.0,1,20,"{'model__learning_rate': 1, 'model__min_samples_leaf': 20}",0.09921205963336414,0.09218117401950852
10,0.09688871382441488,0.0,0.09150134105835288,0.0,0.607370138168335,0.0,0.010533809661865234,0.0,1,1,"{'model__learning_rate': 1, 'model__min_samples_leaf': 1}",0.09688871382441488,0.09150134105835288
11,0.09539299010549246,0.0,0.07512727199215262,0.0,0.195770263671875,0.0,0.006794929504394531,0.0,10,20,"{'model__learning_rate': 10, 'model__min_samples_leaf': 20}",0.09539299010549246,0.07512727199215262
12,0.09027076251004038,0.0,0.07169992431355941,0.0,6.415070056915283,0.0,0.06258916854858398,0.0,0.001,20,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 20}",0.09027076251004038,0.07169992431355941
13,0.08936801766913827,0.0,0.07134351524950681,0.0,6.805366039276123,0.0,0.06238675117492676,0.0,0.001,1,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 1}",0.08936801766913827,0.07134351524950681
14,0.08926128041578077,0.0,0.07073368932183945,0.0,6.317966938018799,0.0,0.07465481758117676,0.0,0.001,100,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 100}",0.08926128041578077,0.07073368932183945
15,0.08071518559454896,0.0,0.30509112193846716,0.0,0.679232120513916,0.0,0.009811878204345703,0.0,0.01,1,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 1}",0.08071518559454896,0.30509112193846716
