rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.20488464183202362,0.0,0.9594092436502233,0.0,1.3560168743133545,0.0,0.08807182312011719,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.20488464183202362,0.9594092436502233
2,0.17046224547696337,0.0,0.9199935002820979,0.0,1.1291000843048096,0.0,0.07604289054870605,0.0,10,2,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",0.17046224547696337,0.9199935002820979
2,0.17046224547696337,0.0,0.9199935002820979,0.0,1.1215159893035889,0.0,0.07308793067932129,0.0,10,20,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 20}",0.17046224547696337,0.9199935002820979
4,0.15333520411961232,0.0,1.0,0.0,2.0627188682556152,0.0,0.1256120204925537,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.15333520411961232,1.0
5,0.1278472797810036,0.0,0.24532071672179384,0.0,0.8820390701293945,0.0,0.05560612678527832,0.0,1,200,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 200}",0.1278472797810036,0.24532071672179384
6,0.1275801411453647,0.0,0.24511684697089064,0.0,0.8153667449951172,0.0,0.0553441047668457,0.0,10,200,"{'model__min_samples_leaf': 10, 'model__min_samples_split': 200}",0.1275801411453647,0.24511684697089064
7,0.10961166283224552,0.0,0.19238986005307757,0.0,0.7969381809234619,0.0,0.05052995681762695,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.10961166283224552,0.19238986005307757
7,0.10961166283224552,0.0,0.19238986005307757,0.0,0.7788770198822021,0.0,0.051223039627075195,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.10961166283224552,0.19238986005307757
7,0.10961166283224552,0.0,0.19238986005307757,0.0,0.7819709777832031,0.0,0.05098128318786621,0.0,100,200,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 200}",0.10961166283224552,0.19238986005307757
